strategy,strategy_name,vertex_index,metric,start,vaccine_fraction,max_steps,saved_at_utc
1,DEGREE,18,615.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4569,477.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4200,449.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,98,433.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3935,401.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7730,397.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6813,392.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4585,387.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7632,293.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1566,288.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11717,274.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,584,267.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5235,248.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,65,243.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7714,239.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10964,238.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7598,237.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1941,232.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8344,223.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6041,205.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2001,200.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1924,199.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6975,192.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9312,191.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3137,188.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,866,183.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4159,182.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1781,181.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3033,180.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,845,172.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3212,170.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2713,169.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4596,168.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6134,160.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,989,137.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2896,137.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5859,137.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3460,134.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3513,134.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8212,133.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,35,132.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,370,132.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11309,132.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4265,130.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2415,129.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6558,128.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,21,127.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4702,116.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,47,115.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,924,115.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,936,115.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2139,114.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8038,114.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4369,113.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,325,112.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9,111.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1809,111.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,13081,111.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3122,110.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3425,110.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5134,108.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11305,108.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1786,107.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4815,107.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6018,107.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12658,102.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6829,100.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1322,99.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10496,99.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1599,97.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7383,97.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7770,97.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11931,97.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2407,96.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2414,95.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3922,95.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5333,95.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1803,94.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5767,94.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9242,94.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1077,92.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1946,92.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6373,92.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2898,91.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3677,91.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2712,90.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,13305,90.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4615,89.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6022,89.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8021,89.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8523,89.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12518,89.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12608,89.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2728,88.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3515,88.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7721,88.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12031,88.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12768,88.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5908,87.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8685,87.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3052,86.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2368,85.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3016,85.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6818,85.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7328,85.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9838,85.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,14023,85.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3891,84.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9514,84.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,602,83.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1090,82.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1910,82.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1938,82.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2228,82.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2649,82.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,823,81.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2462,81.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7484,81.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9159,80.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11331,80.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1951,79.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2927,79.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9667,79.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3068,78.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,871,77.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2861,77.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10466,77.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10905,77.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,79,76.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,123,76.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1817,76.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1953,76.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8128,76.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2215,75.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4295,75.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,932,74.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3520,74.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6970,74.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8880,74.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10607,74.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,14342,72.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1395,71.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11780,71.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1273,70.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1367,70.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11,69.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2949,69.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8730,69.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3020,68.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,552,67.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1274,67.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1441,67.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4389,67.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9426,67.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1521,66.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1653,66.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6138,66.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10972,66.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11458,66.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,429,65.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,829,65.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4180,64.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4570,64.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5701,64.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9940,64.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,649,63.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1636,63.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2528,63.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11437,63.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,46,62.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2719,62.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3533,62.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3673,62.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4179,62.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5024,62.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10919,62.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11878,62.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1002,61.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3172,61.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5497,61.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11545,61.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,207,60.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,338,60.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5213,60.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8822,60.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,211,59.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2387,59.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5101,59.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6214,59.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6842,59.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2301,58.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3593,58.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10142,58.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,155,57.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,551,57.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1656,57.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2267,57.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6568,57.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,10388,57.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2469,56.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3151,56.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6825,56.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6992,56.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7065,56.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1175,55.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2996,55.0,1000,0.1,-1,2025-10-25T10:12:30
