# index, male, _pos
0,1,"array([ 8.06509566, -4.79831958])"
1,0,"array([10.29703936, -0.66717811])"
2,1,"array([ 9.92182567, -4.76662867])"
3,1,"array([6.05523749, 3.87640768])"
4,0,"array([ 1.70757915, -3.86779503])"
5,1,"array([-1.37350204,  2.89720689])"
6,0,"array([0.57440125, 1.67131146])"
7,1,"array([ 17.97145375, -10.44449574])"
8,0,"array([ 21.25178336, -14.79364446])"
9,1,"array([16.6262086, -3.4074398])"
10,0,"array([23.13321518, -3.38616778])"
11,1,"array([13.93192917, -9.47244432])"
12,0,"array([ 7.95763286, -8.0909438 ])"
13,1,"array([  3.38234774, -12.50520369])"
14,0,"array([ 20.77000924, -15.35448681])"
15,1,"array([ 5.22243007, -5.24197492])"
16,0,"array([13.73691209, -3.37828071])"
17,1,"array([ 5.80965972, -5.26216901])"
18,1,"array([12.58489537, -4.92008955])"
19,0,"array([13.57622044, -5.19580504])"
20,0,"array([  9.38686623, -10.9748613 ])"
21,1,"array([13.30977892, -3.57971568])"
22,1,"array([ 0.45941102, -4.11029212])"
23,0,"array([-4.30307178, -2.21262187])"
24,1,"array([ 4.45582081, -1.62535444])"
25,0,"array([-0.86657532,  1.1191674 ])"
26,1,"array([11.0639961 , -5.22136137])"
27,0,"array([  7.013995  , -10.90511515])"
28,0,"array([-0.27776081, -5.88148905])"
29,0,"array([10.30811204, -7.29757491])"
30,0,"array([ 9.67119102, -1.88777004])"
31,1,"array([10.80408691, -3.7009705 ])"
32,0,"array([ 7.31783367, -2.32876748])"
33,0,"array([15.83051517, -1.93899472])"
34,0,"array([10.04987946, -6.28815216])"
35,1,"array([14.79501557, -5.0266701 ])"
36,0,"array([15.91497637, -2.32597563])"
37,1,"array([13.63515674, -2.2841252 ])"
38,0,"array([8.58548967, 2.31195227])"
39,1,"array([2.98890755, 0.88697332])"
40,0,"array([ 9.44819737, -1.16388377])"
41,1,"array([1.28283655, 0.21447919])"
42,0,"array([-2.30136882,  1.64635142])"
43,0,"array([ 15.88478279, -13.04158582])"
44,1,"array([ 6.07816707, -3.14245124])"
45,0,"array([ 4.66621338, -4.34355821])"
46,1,"array([ 8.35672494, -2.34063812])"
47,1,"array([11.31836417, -3.46472101])"
48,1,"array([ 8.65939975, -1.95337729])"
49,0,"array([3.73974823, 2.4402221 ])"
50,0,"array([13.4180873 , -4.28226789])"
51,0,"array([ 6.8685118 , -4.23580816])"
52,0,"array([13.9426146 ,  3.09285704])"
53,0,"array([ 0.19255884, -2.70372001])"
54,0,"array([ 9.46830395, -2.33584941])"
55,0,"array([11.04299579, -7.32496981])"
56,1,"array([3.91290983, 2.00705308])"
57,0,"array([10.13605913, -1.14234745])"
58,0,"array([ 6.84415346, -4.68223103])"
59,1,"array([ -4.79239836, 119.1206748 ])"
60,0,"array([ -4.18983757, 119.87687658])"
61,1,"array([-8.36140383,  7.83143787])"
62,0,"array([-11.64982461,   9.28738532])"
63,1,"array([30.46459296,  2.15449136])"
64,0,"array([33.27700616,  5.14983695])"
65,1,"array([12.29479138, -2.12333718])"
66,0,"array([12.52046533, -1.96298219])"
67,0,"array([2.15373089, 0.57658143])"
68,1,"array([10.16484068, -3.19285914])"
69,0,"array([ 9.89808002, -4.50312974])"
70,0,"array([-11.31650525,   9.93149043])"
71,1,"array([ 6.94685857, -4.90547806])"
72,0,"array([ 1.27974987, -6.28043826])"
73,1,"array([ 7.12790647, -1.62539845])"
74,0,"array([ 5.13655427, -0.81687794])"
75,1,"array([ 6.38465625, -2.67881522])"
76,1,"array([17.51692545, -5.06291889])"
77,0,"array([23.76093916, -4.87249628])"
78,0,"array([25.12828807, -1.47569448])"
79,1,"array([9.77602861, 6.35956897])"
80,0,"array([7.54359131, 3.69692404])"
81,1,"array([ 5.63522861, -3.90128313])"
82,0,"array([ 7.06037491, -8.30170144])"
83,1,"array([10.70281539, -4.3125051 ])"
84,0,"array([ 6.24501527, -2.24024191])"
